Row Labels,Weighted Return Tc
07/08/2003,-0.013936411
07/09/2003,-0.013006212
07/10/2003,0.021677806
07/11/2003,-0.031803449
07/14/2003,0.004082796
07/15/2003,0.017765353
07/16/2003,0.01111138
07/17/2003,0.018573674
07/18/2003,0.016302365
07/21/2003,0.004091432
07/22/2003,-0.005668699
07/23/2003,0.011091156
07/24/2003,0.016206945
07/25/2003,-0.013596261
07/28/2003,0.018616995
07/29/2003,-0.0051977
07/30/2003,0.022532675
07/31/2003,0.015292808
08/01/2003,-0.000866684
08/04/2003,0.016204537
08/05/2003,-0.006068741
08/06/2003,0.015631746
08/07/2003,-0.003603524
08/08/2003,0.006631034
08/11/2003,0.0077763
08/12/2003,0.000215733
08/13/2003,0.01075683
08/14/2003,0.015267928
08/15/2003,0.009424594
08/18/2003,0.008489981
08/19/2003,0.002290037
08/20/2003,-0.006259239
08/21/2003,0.035533557
08/22/2003,0.014854983
08/25/2003,0.008724388
08/26/2003,0.009550647
08/27/2003,-0.00611111
08/28/2003,0.020032652
08/29/2003,-0.002068017
09/02/2003,-0.010369873
09/03/2003,-0.007595462
09/04/2003,0.007308423
09/05/2003,0.01224664
09/08/2003,0.013312585
09/09/2003,0.000614151
09/10/2003,0.003666323
09/11/2003,-0.002268065
09/12/2003,-0.006350456
09/15/2003,0.011811254
09/16/2003,0.01387773
09/17/2003,0.006851562
09/18/2003,0.002918306
09/19/2003,-0.001223746
09/22/2003,0.000529166
09/23/2003,0.003617604
09/24/2003,0.002309146
09/25/2003,0.024107583
09/26/2003,-0.012415678
09/29/2003,-0.00252133
09/30/2003,0.007904938
10/01/2003,-0.010177882
10/02/2003,-0.010474264
10/03/2003,-0.004307606
10/06/2003,0.014293877
10/07/2003,-0.003908893
10/08/2003,0.022091175
10/09/2003,0.008198731
10/10/2003,-0.003499675
10/13/2003,-0.018886124
10/14/2003,0.005799189
10/15/2003,0.013546409
10/16/2003,0.002421511
10/17/2003,-0.020410756
10/20/2003,-0.005071241
10/21/2003,0.003790773
10/22/2003,0.001687792
10/23/2003,0.014516574
10/24/2003,-0.002195278
10/27/2003,-0.007212934
10/28/2003,-0.00392191
10/29/2003,-0.012841732
10/30/2003,-0.006792986
10/31/2003,0.019439189
11/03/2003,0.00827705
11/04/2003,0.012810874
11/05/2003,-0.008165776
11/06/2003,0.018368874
11/07/2003,0.012492983
11/10/2003,-0.00361209
11/11/2003,-0.002516116
11/12/2003,0.0176648
11/13/2003,0.007696594
11/14/2003,0.004405243
11/17/2003,-0.001075268
11/18/2003,-0.004391069
11/19/2003,0.011040544
11/20/2003,-0.005898197
11/21/2003,-0.01407201
11/24/2003,-0.002466451
11/25/2003,0.00378195
11/26/2003,0.004386921
11/28/2003,0.003675888
12/01/2003,0.009581367
12/02/2003,0.000958663
12/03/2003,0.014559456
12/04/2003,0.009336984
12/05/2003,-0.020656545
12/08/2003,0.003272206
12/09/2003,-0.008179743
12/10/2003,-0.006532659
12/11/2003,0.019794054
12/12/2003,0.001388814
12/15/2003,0.020134265
12/16/2003,-0.01068001
12/17/2003,0.011941785
12/18/2003,0.009993334
12/19/2003,-0.013924792
12/22/2003,0.012811935
12/23/2003,0.004025048
12/24/2003,-7.45887E-05
12/26/2003,2.0117E-05
12/29/2003,0.011183023
12/30/2003,0.024402498
12/31/2003,0.013583528
01/02/2004,0.020867938
01/05/2004,0.009771544
01/06/2004,0.014940724
01/07/2004,0.020730494
01/08/2004,0.003681048
01/09/2004,-0.006560612
01/12/2004,0.010732291
01/13/2004,-0.003786401
01/14/2004,0.004191954
01/15/2004,-0.000880007
01/16/2004,0.006336331
01/20/2004,0.008229874
01/21/2004,0.025851059
01/22/2004,0.016051699
01/23/2004,-0.007581515
01/26/2004,0.014753604
01/27/2004,0.004484292
01/28/2004,0.011324648
01/29/2004,0.011185715
01/30/2004,0.02185758
02/02/2004,-0.004552534
02/03/2004,0.004216938
02/04/2004,-0.005346186
02/05/2004,0.007676274
02/06/2004,0.018981085
02/09/2004,0.003201298
02/10/2004,-0.000776908
02/11/2004,0.008965344
02/12/2004,0.010160411
02/13/2004,0.004244271
02/17/2004,0.001722093
02/18/2004,-0.009238818
02/19/2004,0.006809942
02/20/2004,0.007512345
02/23/2004,0.009891645
02/24/2004,0.001268059
02/25/2004,0.002139842
02/26/2004,0.004623867
02/27/2004,0.005302622
03/01/2004,0.00086415
03/02/2004,-0.009920631
03/03/2004,0.013584551
03/04/2004,-0.016851059
03/05/2004,0.007707933
03/08/2004,-0.002494306
03/09/2004,0.009146327
03/10/2004,0.008747405
03/11/2004,-0.006551482
03/12/2004,0.026497645
03/15/2004,0.002811795
03/16/2004,0.002659014
03/17/2004,0.034184654
03/18/2004,0.001939611
03/19/2004,0.006054626
03/22/2004,-0.006828378
03/23/2004,0.008554318
03/24/2004,0.004011806
03/25/2004,-0.001858812
03/26/2004,0.002939617
03/29/2004,-0.008097134
03/30/2004,0.00992486
03/31/2004,0.00258778
04/01/2004,0.007013545
04/02/2004,0.016819115
04/05/2004,-0.007590233
04/06/2004,0.01267747
04/07/2004,0.003415974
04/08/2004,0.021578335
04/12/2004,0.004574895
04/13/2004,0.026088872
04/14/2004,0.00498415
04/15/2004,0.007983319
04/16/2004,0.002852248
04/19/2004,-0.012973168
04/20/2004,-0.002412599
04/21/2004,-0.004371542
04/22/2004,-0.00470246
04/23/2004,-0.008703999
04/26/2004,-0.004979478
04/27/2004,-0.006159207
04/28/2004,0.015795554
04/29/2004,-0.003741815
04/30/2004,-0.010337062
05/03/2004,-0.007774377
05/04/2004,0.032227309
05/05/2004,0.021146736
05/06/2004,0.005076975
05/07/2004,0.011086461
05/10/2004,0.007568474
05/11/2004,0.018369314
05/12/2004,0.005510303
05/13/2004,0.007481681
05/14/2004,0.002471636
05/17/2004,0.007120596
05/18/2004,-0.005932502
05/19/2004,0.00327606
05/20/2004,-0.001743212
05/21/2004,0.000647007
05/24/2004,-0.005449987
05/25/2004,0.002300448
05/26/2004,0.011964731
05/27/2004,0.00280968
05/28/2004,0.00134969
06/01/2004,-0.008009443
06/02/2004,0.010624458
06/03/2004,0.003979825
06/04/2004,0.001673114
06/07/2004,0.004889981
06/08/2004,0.00522631
06/09/2004,0.002826764
06/10/2004,-0.012290276
06/14/2004,-0.008719542
06/15/2004,0.001527213
06/16/2004,0.002903722
06/17/2004,-0.01286486
06/18/2004,-0.006714316
06/21/2004,0.006337655
06/22/2004,-0.003135639
06/23/2004,0.005555177
06/24/2004,0.007342223
06/25/2004,-0.004750406
06/28/2004,0.008395203
06/29/2004,-0.001930006
06/30/2004,0.01157251
07/01/2004,0.001090494
07/02/2004,0.007422913
07/06/2004,-0.01775879
07/07/2004,0.004812258
07/08/2004,0.006925091
07/09/2004,0.003997399
07/12/2004,0.004644898
07/13/2004,0.005491038
07/14/2004,-0.001557491
07/15/2004,0.003882221
07/16/2004,-0.010170902
07/19/2004,-0.008745951
07/20/2004,0.010396407
07/21/2004,0.006936264
07/22/2004,-0.005040092
07/23/2004,-0.012272196
07/26/2004,-0.010060006
07/27/2004,0.022747876
07/28/2004,0.011781795
07/29/2004,-0.00320566
07/30/2004,0.003898085
08/02/2004,0.008045788
08/03/2004,0.011580994
08/04/2004,-0.010706978
08/05/2004,-0.023142494
08/06/2004,0.010551111
08/09/2004,-0.003701524
08/10/2004,0.010373898
08/11/2004,0.010152942
08/12/2004,0.003878308
08/13/2004,0.011160626
08/16/2004,-0.004744713
08/17/2004,0.010615259
08/18/2004,0.000674795
08/19/2004,0.007970335
08/20/2004,-0.018637052
08/23/2004,0.002932178
08/24/2004,-0.003670425
08/25/2004,0.004570768
08/26/2004,0.003475732
08/27/2004,-0.000349622
08/30/2004,0.005570785
08/31/2004,-0.0080275
09/01/2004,0.01034114
09/02/2004,0.001320206
09/03/2004,0.009170616
09/07/2004,-0.004355512
09/08/2004,-0.008643409
09/09/2004,-0.001595689
09/10/2004,-0.009599617
09/13/2004,-0.01459243
09/14/2004,-0.000337925
09/15/2004,0.003198602
09/16/2004,-0.013752537
09/17/2004,0.014413493
09/20/2004,-0.001335063
09/21/2004,-7.01175E-05
09/22/2004,0.001467475
