d,dbo_bench_ticker,dbo_dim_equity_ticker,dbo_benchvalue_value,dbo_dailyvalue_value
2009-10-06,VIX,GS,-0.04340232,0.002731267
2009-10-07,SPX,GS,0.00270795,0.018545956
2009-10-07,SPTR,GS,0.00323336,0.018545956
2009-10-07,VIX,GS,-0.04049779,0.018545956
2009-10-08,SPX,GS,0.00744212,-0.012201132
2009-10-08,SPTR,GS,0.00744307,-0.012201132
2009-10-08,VIX,GS,-0.02046735,-0.012201132
2009-10-09,SPX,GS,0.0056248,0.005987042
2009-10-09,SPTR,GS,0.00564859,0.005987042
2009-10-09,VIX,GS,-0.0448278,0.005987042
2009-10-12,SPX,GS,0.00437682,0.00447995
2009-10-12,SPTR,GS,0.00437649,0.00447995
2009-10-12,VIX,GS,-0.00476914,0.00447995
2009-10-16,SPX,GS,-0.00813102,-0.022842924
2009-10-16,SPTR,GS,-0.00812672,-0.022842924
2009-10-16,VIX,GS,-0.01344169,-0.022842924
2009-11-20,SPX,GS,-0.00322008,-0.016451588
