d,rf_str,mkt_str,smb_str,hml_str,umd_str
2009-02-12, 9.99999974737875E-06, 2.70000007003546E-03, 3.40000004507601E-03,-7.00000021606684E-03, 2.30000005103648E-03
2009-02-13, 9.99999974737875E-06,-8.89999978244305E-03, 6.89999992027879E-03,-9.39999986439943E-03,-1.79999996908009E-03
2009-02-17, 9.99999974737875E-06,-4.56999987363815E-02, 9.60000045597553E-03,-1.99999995529652E-02, 4.32999990880489E-02
2009-02-18, 9.99999974737875E-06,-3.80000006407499E-03,-8.00000037997961E-03,-8.60000029206276E-03, 9.39999986439943E-03
2009-02-19, 9.99999974737875E-06,-1.13000003620982E-02,-2.60000000707805E-03,-1.35000003501773E-02, 2.00999993830919E-02
2009-02-20, 9.99999974737875E-06,-1.19000002741814E-02, 1.99999994947575E-04,-1.09000001102686E-02, .014299999922514
2009-02-23, 9.99999974737875E-06,-3.66000011563301E-02,-1.79999996908009E-03, 7.89999961853027E-03, 1.93000007420778E-02
2009-02-24, 9.99999974737875E-06, 4.08000014722347E-02,-7.79999978840351E-03, 2.23999992012978E-02,-4.10999990999699E-02
2009-02-25, 9.99999974737875E-06,-1.07000004500151E-02,-1.31999999284744E-02, 2.89999996311963E-03, 4.30000014603138E-03
2009-02-26, 9.99999974737875E-06,-1.22999995946884E-02,-3.89999989420176E-03, 1.40000004321337E-02,-1.62000004202127E-02
2009-02-27, 9.99999974737875E-06,-1.94000005722046E-02, 1.49999996647239E-02,-1.53000000864267E-02, 2.23999992012978E-02
2009-03-02, 0,-5.02000004053116E-02, 9.99999974737875E-05,-2.89999996311963E-03, 5.24000003933907E-02
2009-03-03, 0,-6.3999998383224E-03,-8.20000004023314E-03,-1.89999993890524E-02, 3.50000010803342E-03
2009-03-04, 0, 2.60000005364418E-02, 2.60000000707805E-03,-6.30000000819564E-03,-1.59000009298325E-02
2009-03-05, 0,-4.25000004470348E-02,-5.40000014007092E-03,-2.23999992012978E-02, .033100001513958
2009-03-06, 0, 1.5999999595806E-03, 4.10000002011657E-03,-6.30000000819564E-03, 6.30000000819564E-03
2009-03-09, 0,-1.13000003620982E-02,-8.60000029206276E-03, 4.60000010207295E-03,-1.67999994009733E-02
2009-03-10, 0, 6.44000023603439E-02,-5.2000000141561E-03, 2.61000003665686E-02,-6.56000003218651E-02
2009-03-11, 0, 4.10000002011657E-03,-4.80000022798777E-03, 5.70000009611249E-03,-1.00999996066093E-02
2009-03-12, 0, 4.23999987542629E-02, 1.30000002682209E-02, 1.42000000923872E-02,-3.57999987900257E-02
2009-03-13, 0, 6.00000005215406E-03, 2.30000005103648E-03, 3.59999993816018E-03,-6.99999975040555E-04
2009-03-16, 0,-4.90000005811453E-03,-1.00999996066093E-02, 6.80000009015203E-03,-1.48000000044703E-02
2009-03-17, 0, 3.13999988138676E-02, 6.30000000819564E-03, 9.99999977648258E-03,-1.47000001743436E-02
2009-03-18, 0, .022299999371171, 4.60000010207295E-03, 2.87999995052814E-02,-5.13000003993511E-02
2009-03-19, 0,-8.10000021010637E-03, 5.70000009611249E-03,-1.53999999165535E-02, 1.5999999595806E-03
